,DAUID,DGUID,LANDAREA,PRUID,centroid,lon,lat,address,city,province,country
34401,46110069,2021S051246110069,0.3603,46,POINT (-97.13902481746756 49.90903048735655),-97.13902482,49.90903049,Charles Street,Winnipeg,Manitoba,canada
34402,46110070,2021S051246110070,0.1959,46,POINT (-97.14367696321875 49.905945926473336),-97.14367696,49.90594593,Laura Street,Winnipeg,Manitoba,canada
34403,46110071,2021S051246110071,0.3278,46,POINT (-97.13964586847196 49.903352911937425),-97.13964587,49.90335291,Alexander Avenue,Winnipeg,Manitoba,canada
35539,46110631,2021S051246110631,0.3967,46,POINT (-97.1442874964846 49.89111922600036),-97.1442875,49.89111923,Hargrave Street,Winnipeg,Manitoba,canada
35540,46110632,2021S051246110632,0.139,46,POINT (-97.14682245444494 49.893980105138226),-97.14682245,49.89398011,Carlton Street,Winnipeg,Manitoba,canada
35541,46110633,2021S051246110633,0.0319,46,POINT (-97.15064140763319 49.89263293911502),-97.15064141,49.89263294,Vaughan Street,Winnipeg,Manitoba,canada
35542,46110634,2021S051246110634,0.1998,46,POINT (-97.15548481560221 49.891160483704155),-97.15548482,49.89116048,Young Street,Winnipeg,Manitoba,canada
35543,46110635,2021S051246110635,0.0481,46,POINT (-97.15167624523315 49.88976643732272),-97.15167625,49.88976644,Good Street,Winnipeg,Manitoba,canada
35600,46110666,2021S051246110666,0.0971,46,POINT (-97.14400433348352 49.89580979423874),-97.14400433,49.89580979,Donald Street,Winnipeg,Manitoba,canada
35601,46110667,2021S051246110667,0.2861,46,POINT (-97.14337678713268 49.8983367247455),-97.14337679,49.89833672,Adelaide Street,Winnipeg,Manitoba,canada
35602,46110668,2021S051246110668,0.0728,46,POINT (-97.13890792831857 49.90065358622282),-97.13890793,49.90065359,King Street,Winnipeg,Manitoba,canada
35875,46110669,2021S051246110669,0.9489,46,POINT (-97.12787618151474 49.90050947756624),-97.12787618,49.90050948,Waterfront Drive,Winnipeg,Manitoba,canada
35876,46110670,2021S051246110670,0.3188,46,POINT (-97.12736169580457 49.90634600129767),-97.1273617,49.906346,Barber Street,Winnipeg,Manitoba,canada
35877,46110671,2021S051246110671,0.1051,46,POINT (-97.12684079869418 49.9081505660317),-97.1268408,49.90815057,Grove Street,Winnipeg,Manitoba,canada
36369,46110072,2021S051246110072,0.0717,46,POINT (-97.14625528949784 49.902849263212325),-97.14625529,49.90284926,Ross Avenue,Winnipeg,Manitoba,canada
36370,46110073,2021S051246110073,0.0927,46,POINT (-97.14908666318453 49.90047943184744),-97.14908666,49.90047943,Harriet Street,Winnipeg,Manitoba,canada
36371,46110074,2021S051246110074,0.1162,46,POINT (-97.1525085185846 49.903121220478724),-97.15250852,49.90312122,Lydia Street,Winnipeg,Manitoba,canada
36372,46110075,2021S051246110075,0.131,46,POINT (-97.15404055803688 49.90116108542362),-97.15404056,49.90116109,McDermot Avenue,Winnipeg,Manitoba,canada
36374,46110077,2021S051246110077,0.057,46,POINT (-97.15324888526405 49.8977595601775),-97.15324889,49.89775956,Spence Street,Winnipeg,Manitoba,canada
36375,46110078,2021S051246110078,0.0299,46,POINT (-97.15074475618776 49.89777857230731),-97.15074476,49.89777857,Cumberland Avenue,Winnipeg,Manitoba,canada
36419,46110176,2021S051246110176,0.3315,46,POINT (-97.14987241667484 49.90677393087315),-97.14987242,49.90677393,Logan Avenue,Winnipeg,Manitoba,canada
36563,46110630,2021S051246110630,0.0164,46,POINT (-97.14340396360132 49.88950254607543),-97.14340396,49.88950255,Hargrave Street,Winnipeg,Manitoba,canada
36590,46110079,2021S051246110079,0.018,46,POINT (-97.14896206582263 49.89768028793638),-97.14896207,49.89768029,Cumberland Avenue,Winnipeg,Manitoba,canada
36591,46110080,2021S051246110080,0.0413,46,POINT (-97.14933990783753 49.89604159024393),-97.14933991,49.89604159,Edmonton Street,Winnipeg,Manitoba,canada
36592,46110081,2021S051246110081,0.0692,46,POINT (-97.15085982694654 49.89516505263526),-97.15085983,49.89516505,Deacon Street,Winnipeg,Manitoba,canada
36891,46111178,2021S051246111178,0.1378,46,POINT (-97.13914787122411 49.88831644383589),-97.13914787,49.88831644,Smith Street,Winnipeg,Manitoba,canada
37220,46110805,2021S051246110805,0.8604,46,POINT (-97.11918700373197 49.897826464295676),-97.119187,49.89782646,Cercle Molière,Winnipeg,Manitoba,canada
37224,46110809,2021S051246110809,0.2129,46,POINT (-97.12042311225942 49.891225568927226),-97.12042311,49.89122557,Rue Aulneau Street,Winnipeg,Manitoba,canada
37225,46110810,2021S051246110810,0.5754,46,POINT (-97.13234552439407 49.890337707853405),-97.13234552,49.89033771,Israel Asper Way,Winnipeg,Manitoba,canada
